Date Paid|Entity Name|First Name|Middle Initial|Last Name|Addr Line1|City|State|Zip|Zip4|Expenditure Type|Amount|Purpose|Election Type|Expenditure Platform|Expenditure Quantity|Expenditure Specific Services|Attachment
09/30/2025|Liberty Oak Consulting||||1820 N Last Chance Gulch|Helena|MT|59601||2|1931.0|Monthly consulting (1300) and reimburse for yard signs (631).|GN||||N|
09/25/2025|Montana Ace||||130 N Meridian Rd|Kalispell|MT|59901||2|59.94|Posts for large signs|GN||||N|
10/04/2025|Montana Ace||||130 N Meridian Rd|Kalispell|MT|59901||2|44.97|Posts for large signs|GN||||N|
10/07/2025|Treeline Creative LLC||||118 S Main St|Kalispell|MT|59901||2|437.5|Yard signs|GN||||N|
09/20/2025|Glacier Ace Hardware||||2148 U.S. Hwy 2 E|Kalispell|MT|59901||2|87.93|Posts for large signs|GN||||N|
09/29/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|18.3|Anedot Fees Patrick Gulick|GN||||N|
10/04/2025|Black Rifle Coffee Company||||305 2nd Ave. West|Kalispell|MT|59901||2|3.6|Coffee for volunteers|GN||||N|
10/10/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|4.3|James Mc Cormack Anedot Fees|GN||||N|
09/17/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|4.3|Jereen Bowen processing fees|GN||||N|
09/18/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|18.3|Processing fees Gaylon Owens|GN||||N|
09/19/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|18.3|Processing fee Mark Owens|GN||||N|
10/06/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|1230.0|Anedot Fees Mike Brodie|GN||||N|
09/20/2025||Chris||Vidulich|432 E Idaho St|Kalispell|MT|59901||2|19.06|Check sent for overlimit contribution Anedot Fees|GN||||N|
09/25/2025|Insty-Prints||||131 Main St.|Kalispell|MT|59901||2|66.5|Rack cards|GN||||N|
10/08/2025||Kisa||Davison|312 6th Avenue East|Kalispell|MT|59901||2|5470.3|Reimbursement for Postcards and Postage.  |GN||||Y|
09/27/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|18.3|Brian Aegerter  Anedot fees|GN||||N|
09/30/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|8.3|Mark Freidline Anedot Fees|GN||||N|
09/30/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|12.3|Alexander Joudy Anedot Fees|GN||||N|
09/30/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|2.3|Processing Fees |GN||||N|
09/18/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|18.3|Processing Fees Sophie Fisher|GN||||N|
09/17/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|18.3|Jill Brass  processing fee|GN||||N|
09/30/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|18.3|Anedot Fees Gabe Mariman|GN||||N|
10/15/2025||David||Risk|6 Salt Ln|Dorado|PR|00646||2|19.06|Refund of Anedot fees paid over limit|GN||||N|
09/26/2025|Insty-Prints||||131 Main St.|Kalispell|MT|59901||2|367.5|Rack cards|GN||||N|
10/08/2025|Montana Ace||||130 N Meridian Rd|Kalispell|MT|59901||2|31.97|Posts for large signs|GN||||N|
10/10/2025|Montana Ace||||130 N Meridian Rd|Kalispell|MT|59901||2|35.97|Posts for large signs|GN||||N|
10/15/2025||Danielle||Risk|6 Sale Ln|Dorado|PR|00646||2|19.06|Refund of Anedot Fees over limit|GN||||N|
10/08/2025|Montana Ace||||130 N Meridian Rd|Kalispell|MT|59901||2|59.96|Posts for large signs|GN||||N|
09/24/2025|Insty Prints||||131 Main Street|Kalispell|MT|59901||2|305.42|RACK CARDS 1000|GN||||N|
10/06/2025|Signs.com||||8000 Haskell Ave|Van Nuys|CA|91406||2|958.69|YARD SIGNS 100|GN||||N|
10/15/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|4.3|Anedot Fees Tony Brockman|GN||||N|
