Date Paid|Entity Name|First Name|Middle Initial|Last Name|Addr Line1|City|State|Zip|Zip4|Expenditure Type|Amount|Purpose|Election Type|Expenditure Platform|Expenditure Quantity|Expenditure Specific Services|Attachment
08/26/2025|Insty-Prints||||131 Main St.|Kalispell|MT|59901||2|262.5|Rack cards|GN||||N|
08/27/2025|Liberty Oak Consulting||||1820 N Last Chance Gulch|Helena|MT|59601||2|1699.23|$1300 for consulting; 399.23 for stamps and envelopes and paper|GN||||N|
09/13/2025|Liberty Oak Consulting||||1820 N Last Chance Gulch|Helena|MT|59601||2|1099.42|Reimburse purchase of campaign signs|GN||||N|
09/13/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|18.3|Anedot Fee Jessica Locke|GN||||N|
09/10/2025|Treeline Creative LLC||||118 S Main St|Kalispell|MT|59901||2|406.25|Head shots and graphic design|GN||||N|
09/05/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|37.36|Anedot fees for refund|GN||||N|
09/09/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|18.3|Anedot fee for Gary Gorian|GN||||N|
09/09/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|18.3|Anedot Fee for Sean Jensen|GN||||N|
09/09/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|18.3|Anedot Fee Mike Anders|GN||||N|
09/04/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|18.3|Anedot Fee John Barr|GN||||N|
09/11/2025||Dawn||Olson|157 W Valley Acres |Kalispell|MT|59901|6987|2|19.06|Refund of over contribution |GN||||N|
09/11/2025||Glen||Olson|PO Box 9851 |Kalispell|MT|59904|2851|2|19.06|Refund of Overpayment on contribution|GN||||N|
09/04/2025||Bill||Goldberg|208 1st Avenue East|Kalispell|MT|59901||2|19.06|Check to refund Anedot fees over limit #00500|GN||||N|
08/17/2025|Minuteman Press||||65 8th Avenue West North|Kalispell|MT|59901||2|73.97|Postcards|GN||||N|
08/25/2025|Minuteman Press||||65 8th Avenue West North|Kalispell|MT|59901||2|447.6|Remit envelopes|GN||||N|
