Date Paid|Entity Name|First Name|Middle Initial|Last Name|Addr Line1|City|State|Zip|Zip4|Expenditure Type|Amount|Purpose|Election Type|Expenditure Platform|Expenditure Quantity|Expenditure Specific Services|Attachment
08/07/2025|Costco||||3880 Zoo Dr|Billings|MT|59102||2|144.7|Fundraiser supplies|GN|||Fundraiser supplies|N|
07/24/2025|Strange Sister Creative||||550 Park Lane|Billings|MT|59102||2|309.0|Remit envelope and invitation design|GN|||Graphic design|N|
07/22/2025|Intuit||||2700 Coast Ave|Mountain View|CA|94043||2|25.0|Online payment fee|GN|||Online payment fee|N|
07/22/2025|Fireweed Campaigns||||PO Box 87|Helena|MT|59601||2|3933.33|Campaign Management Fee|GN|||Campaign management|N|
07/21/2025|USPS||||2602 12t Ave. No. FL-1|Billings|MT|59101||2|36.6|Overnight shipping charge|GN|||Shipping|N|
07/22/2025|Billings Times||||2919 Montana Ave|Billings|MT|59101||2|4130.92|Remittance Envelopes, Fundraising Mailer, Yard Signs, Campaign Banner|GN||5000 Remits|Printing services|N|
08/14/2025|Anedot, Inc||||1340 Poydras Street Suite 1770|New Orleans|LA|70112||2|447.76|Donor platform fees for the period July 16-Aug 14, 2025|GN|Anedot||Online donation management and processing|N|
07/22/2025|Mailing Technical Services||||PO Box 1753|Billings|MT|59103||2|693.78|Direct mail|GN||1015|Direct mail processing and postage|N|
07/22/2025|Raisemore||||722 North Broadway Suite 301|Oklahoma City|OK|73102||2|250.0|Fundraising software|GN|||Software subscription|N|
07/30/2025|Albertsons||||5317 Grand Ave|Billings|MT|59106||2|128.91|Fundraiser Supplies - Consumables|GN|||Food and beverage|N|
07/22/2025|Photojenic Creations||||1134 N. 31st St|Billings|MT|59101||2|500.0|Campaign Photography|GN|||Photography|N|
